Date,Open,High,Low,Close,Adj Close,Volume
2024-05-27,2138.000000,2170.000000,2111.000000,2167.000000,2167.000000,400500
2024-05-28,2200.000000,2269.000000,2195.000000,2219.000000,2219.000000,491600
2024-05-29,2197.000000,2215.000000,2128.000000,2128.000000,2128.000000,354400
2024-05-30,2090.000000,2127.000000,2043.000000,2085.000000,2085.000000,488800
2024-05-31,2100.000000,2164.000000,2093.000000,2164.000000,2164.000000,555500
2024-06-03,2180.000000,2180.000000,2122.000000,2155.000000,2155.000000,406700
2024-06-04,2165.000000,2259.000000,2165.000000,2220.000000,2220.000000,709700
2024-06-05,2230.000000,2264.000000,2195.000000,2224.000000,2224.000000,543700
2024-06-06,2225.000000,2255.000000,2173.000000,2209.000000,2209.000000,934000
2024-06-07,2197.000000,2276.000000,2190.000000,2275.000000,2275.000000,542800
2024-06-10,2250.000000,2365.000000,2240.000000,2361.000000,2361.000000,844600
2024-06-11,2343.000000,2399.000000,2325.000000,2380.000000,2380.000000,882800
2024-06-12,2405.000000,2422.000000,2307.000000,2364.000000,2364.000000,1583900
2024-06-13,2834.000000,2864.000000,2740.000000,2864.000000,2864.000000,8959100
2024-06-14,2834.000000,2929.000000,2708.000000,2842.000000,2842.000000,6605500
2024-06-17,2831.000000,2913.000000,2775.000000,2812.000000,2812.000000,2176300
2024-06-18,2808.000000,2865.000000,2776.000000,2808.000000,2808.000000,1371500
2024-06-19,2850.000000,2868.000000,2726.000000,2729.000000,2729.000000,1929900
2024-06-20,2725.000000,2760.000000,2701.000000,2707.000000,2707.000000,1020300
2024-06-21,2702.000000,2740.000000,2635.000000,2719.000000,2719.000000,1327600
2024-06-24,2692.000000,2775.000000,2686.000000,2736.000000,2736.000000,1013100
2024-06-25,2736.000000,2801.000000,2721.000000,2766.000000,2766.000000,626200
2024-06-26,2774.000000,2806.000000,2728.000000,2789.000000,2789.000000,1010800
2024-06-27,2760.000000,2833.000000,2748.000000,2805.000000,2805.000000,899200
